KEY,VALUE,,,,,
Autistic,has autism,,,,,
Alcoholic,has alcohol problem,,,,,
Addict ,someone struggling with addiction,,,,,
Actress,Actor,,,,,
Albino,has albinism,,,,, 
Aboriginal,Indigenous people,,,,,
Abort,Cancel progress,,,,,
Ablebodied,without disability,,,,,
Abnormal,atypical,,,,,
Abusive Relationship,relationship with a person who is abusive,,,,,
AIDS Victim,person with AIDS,,,,,
afflicted by,has a disability,,,,,
slave,follower,,,,,
Blacklist,Denylist,,,,,
Blackout dates,blocked dates,,,,,
Blackout days ,blocked days,,,,,
Blind,people who are blind,,,,,
Black days,restricted days,,,,,
Blackbox,closed box,,,,,
Brown bags,lunch and learn,,,,,
Blind to the truth,Imperceptive,,,,,
Blind eye to,Ignorant ,,,,,
Blind spot,Uneducated,,,,,
Congresswoman,Congressional representative ,,,,,
Bipolar ,has bipolar disorder,,,,,
Blackhat hacker,Unethical hacker,,,,,
Blind to,ignore,,,,,
Brother,sibling,,,,,
Brain damaged ,person with a traumatic brain injury,,,,,
Birth Sex,assigned sex,,,,,
Businessman,Business executive,,,,,
Businesswoman,Business executive,,,,,
Birth defect,born with a disability,,,,,
Birth deformity,born with a disability,,,,,
Boyfriend,partner,,,,,
Bad Guy,Suspect ,,,,,
Chairman ,Chairperson,,,,,
Cakewalk,Easy,,,,,
Crazy,has psychiatric disability,,,,,
Cripple(s),slow(s) ,,,,,
Coloured people,other racial groups,,,,,
Class,socioeconomic status,,,,,
Crippled ,has disability,,,,,
Congressman,Congressional representative ,,,,,
Circle the wagons ,regroup,,,,,
Childish,young person,,,,,
Convict ,person who has been incarcerated,,,,,
Commited suicide ,died by suicide ,,,,,
Child prostitute,child who has been trafficked ,,,,,
Caucasian,European american,,,,,
Congenital defect , has congenital disability,,,,,
Confined to a wheelchair,person who uses a wheelchair,,,,,
Cleaning lady ,Housekeeper,,,,,
Dummy value,Sample value,,,,,
Dad,Parent ,,,,,
Dumb,Clueless,,,,,
Dumb-down,Uninformed,,,,,
Dumb terminal,Computer terminal,,,,,
Junkie,someone struggling with addiction,,,,,
Drug lord,person who was arrested for selling drugs ,,,,,
Disabled  person,Person with disability,,,,,
Diabetic,living with diabetes,,,,,
